"BSSID","Channel","SSID","Percent Packets","Percent Retry","Retry","Beacons","Data Pkts","Probe Reqs","Probe Resp","Auths","Deauths","Other","Protection"
"c4:0a:cb:25:b5:54",1,"LAPTOP-S",22.998533724340177,6.904686005737966,1083,1382,14278,0,12,2,0,11,"Unknown"
"c4:0a:cb:2d:ca:81",1,"SENSOR",1.2595307917888563,0.3492433061699651,3,856,0,0,3,0,0,0,""
"c4:0a:cb:25:b5:52",1,"eduroam",2.0249266862170088,0.28964518464880523,4,1377,0,0,4,0,0,0,""
"c4:0a:cb:2d:ca:83",1,"FACULTY-STAFF-N",1.3093841642228738,0.4479283314669653,4,889,0,0,4,0,0,0,""
"c4:0a:cb:25:b5:51",1,"SENSOR",2.0425219941348973,0.2871500358937545,4,1389,0,0,4,0,0,0,""
"de:f7:cb:25:b7:54",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,""
"c4:0a:cb:2d:ca:85",1,"MOBILE-S",43.90029325513196,0.25384101536406145,76,703,29234,0,3,0,0,0,"Unknown"
"c4:0a:cb:25:b5:53",1,"FACULTY-STAFF-N",1.7316715542521994,0.3386960203217612,4,1177,0,0,4,0,0,0,""
"c4:0a:cb:2d:ca:80",1,"GUEST-N",1.3284457478005864,0.22075055187637968,2,904,0,0,2,0,0,0,""
"c4:0a:cb:25:b5:55",1,"MOBILE-S",16.412023460410555,0.259090502992942,29,1139,10038,0,3,2,0,11,"Unknown"
"c4:0a:cb:2d:ca:82",1,"eduroam",0.9354838709677419,0.15673981191222572,1,637,0,0,1,0,0,0,""
"c4:0a:cb:25:b5:50",1,"GUEST-N",2.3167155425219943,0.9493670886075949,15,1391,170,0,4,9,1,5,"Unknown"
"c4:0a:cb:2d:ca:84",1,"LAPTOP-S",1.1671554252199414,0.628140703517588,5,789,0,2,5,0,0,0,""
"a0:84:d7:24:75:54",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"04:80:f2:b0:2c:e7",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"70:4c:2d:6d:5d:53",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:5c:11:f3",0,"<Broadcast>",0.8856304985337243,52.152317880794705,315,0,602,0,0,0,1,1,"Unknown"
"00:00:00:00:00:00",0,"<Broadcast>",0.09530791788856305,0,0,0,65,0,0,0,0,0,""
"c4:0a:cb:2d:d4:d3",0,"<Broadcast>",0.0689149560117302,63.829787234042556,30,0,46,0,0,0,0,1,"Unknown"
"91:18:cb:25:b5:2a",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:c7:25:b5:54",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:5c:11:f4",1,"LAPTOP-S",0.04105571847507331,7.142857142857143,2,1,24,0,0,2,0,1,"Unknown"
"c4:0a:cb:25:e6:35",1,"MOBILE-S",0.781524926686217,31.51969981238274,168,14,519,0,0,0,0,0,"Unknown"
"ff:ff:ff:ff:ff:ff",1,"<Broadcast>",0.21114369501466276,0,0,0,0,144,0,0,0,0,""
"c4:0a:4b:1c:a7:0f",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:d7:30:1c:1d",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"b5:50:01:0b:85:00",0,"<Broadcast>",0.002932551319648094,0,0,0,2,0,0,0,0,0,""
"c4:0a:cb:5c:11:f2",1,"GUEST-N",0.007331378299120235,0,0,3,0,2,0,0,0,0,""
"f6:e5:d1:08:15:ae",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:5c:61:f1",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:5c:11:f5",0,"<Broadcast>",0.02785923753665689,15.789473684210526,3,0,19,0,0,0,0,0,"Unknown"
"c4:8a:8b:27:15:0b",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"ff:ff:ff:ff:ff:ff",1,"Airtel_9818841004",0.001466275659824047,0,0,0,0,1,0,0,0,0,""
"c4:0a:cb:25:b5:54",1,"MOBILE-S",0.013196480938416423,22.22222222222222,2,0,0,9,0,0,0,0,""
"30:86:2d:d0:a3:f1",0,"<Broadcast>",0.008797653958944282,0,0,0,5,0,0,0,1,0,"Unknown"
"30:a6:2f:d0:a3:f1",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"10:86:2d:d0:a3:f1",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"WEP"
"93:c6:37:d2:eb:f2",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,""
"34:82:8d:ba:19:b6",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:2c:1f:f3",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:e6:34",1,"LAPTOP-S",0.08357771260997067,0,0,2,55,0,0,0,0,0,"Unknown"
"8e:6d:ea:93:00:a9",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"c4:0a:cb:2d:95:a0",0,"<Broadcast>",0.002932551319648094,0,0,0,2,0,0,0,0,0,""
"3e:a3:83:5c:11:f3",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"e3:c6:70:b7:e6:70",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:e6:33",1,"FACULTY-STAFF-N",0.030791788856304986,0,0,21,0,0,0,0,0,0,""
"c4:a7:5a:49:62:f3",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"84:2f:c1:00:dd:7c",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:e6:31",1,"SENSOR",0.013196480938416423,11.11111111111111,1,8,0,0,1,0,0,0,""
"b1:e1:ca:97:6f:72",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"d7:5e:77:37:92:09",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"83:e8:c2:76:f7:f7",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"f1:99:53:ff:8e:c3",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"99:08:cb:5c:11:f3",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"a4:34:d9:df:e3:3c",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,""
"83:5f:53:da:6b:ab",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,""
"c4:0a:cb:15:12:12",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"1d:90:cb:25:b5:54",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"58:4c:f6:19:55:24",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,""
"30:86:2d:d0:a3:f0",1,"LAPTOP-S",0.0718475073313783,0,0,0,0,49,0,0,0,0,""
"7f:81:b2:a7:4c:79",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"c4:4a:36:5c:11:f3",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c7:0a:cb:5c:11:f3",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"ba:fd:03:ba:89:62",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:2c:15:f3",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:5c:11:66",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:1c:04:ff",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"WEP"
"c4:0a:cb:5c:d1:a9",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:da:cd:5c:11:26",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"WEP"
"3d:77:1c:94:6b:84",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"b7:2e:cb:5c:11:f3",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"00:00:0c:07:ac:14",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"f5:2d:cb:2d:ca:85",0,"<Broadcast>",0.001466275659824047,100,1,0,1,0,0,0,0,0,"Unknown"
"c4:ec:83:a8:19:c4",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"c4:0a:de:25:b5:55",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:e6:32",1,"GUEST-N",0.020527859237536656,0,0,10,0,4,0,0,0,0,""
"1a:08:a5:0a:ac:28",0,"<Broadcast>",0.001466275659824047,100,1,0,0,0,0,0,0,1,""
"a4:77:bc:e0:d9:d9",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"01:0b:85:00:00:00",0,"<Broadcast>",0.007331378299120235,0,0,0,5,0,0,0,0,0,""
"c4:a0:d3:bc:a1:f9",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"WEP"
"6c:a6:5a:d0:66:0f",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"c4:0a:cb:25:80:26",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
"f4:ca:d7:2c:e6:40",0,"<Broadcast>",0.001466275659824047,0,0,0,1,0,0,0,0,0,"Unknown"
