Occurrences,Average Signal Strength (dBm),Average Bit Rate (Mbps),Mac Address
1,-71.0,52.0,a0:9a:d1:b1:5a:b6
1,-47.0,24.0,f4:02:28:18:4c:99
1,-75.0,1.0,4e:0e:34:98:29:39
1,-78.0,19.5,f1:9b:e6:75:79:37
1,-75.0,14.4444,c4:46:14:60:14:71
1,-76.0,14.4444,88:f0:31:e2:cc:c2
1,-70.0,24.0,88:03:e9:51:8a:db
1,-73.0,1.0,c6:ea:82:3e:9b:03
1,-71.0,24.0,a8:db:03:77:26:7f
1,-67.0,72.2222,00:00:ef:61:00:20
1,-71.0,24.0,fe:ab:2d:58:dc:d7
1,-66.0,117.0,f1:89:d2:71:18:59
1,-67.0,72.2222,5c:ed:f4:75:c7:d9
1,-78.0,19.5,4a:bc:60:ab:07:75
1,-68.0,72.2222,b6:b7:2d:40:0b:e0
1,-67.0,78.0,5c:4d:83:d8:d8:71
1,-65.0,117.0,f8:d9:e3:9e:c2:c9
1,-66.0,39.0,40:4e:16:93:5a:02
1,-72.0,24.0,bc:f7:30:28:67:00
1,-53.0,144.444,38:7a:0e:4e:df:bd
1,-70.0,24.0,48:01:c5:53:a8:57
1,-72.0,58.5,df:35:eb:7d:42:4b
1,-63.0,130.0,f8:89:d2:71:18:49
1,-74.0,39.0,28:c1:40:5e:05:10
1,-71.0,24.0,98:b3:79:30:cd:d3
1,-66.0,1.0,da:3a:52:2b:af:9a
1,-70.0,1.0,3a:9f:6e:c6:5a:43
1,-67.0,78.0,7f:06:1b:47:78:c7
1,-69.0,1.0,0a:d8:1a:04:11:f0
1,-70.0,24.0,b6:3c:4d:97:e5:ef
1,-73.0,19.5,f8:89:d2:c7:74:f1
1,-52.0,28.8889,df:c1:36:77:19:97
1,-65.0,104.0,f8:89:d2:c5:00:d5
1,-44.0,28.8889,b9:f7:31:04:19:97
1,-77.0,24.0,c4:35:d9:8f:ee:1e
1,-47.0,28.8889,82:f0:90:0c:19:97
1,-46.0,28.8889,33:1b:16:04:19:97
1,-68.0,72.2222,ed:d8:60:68:e2:43
1,-71.0,72.2222,ea:aa:6d:9b:bf:98
1,-46.0,24.0,d6:2d:df:9e:46:3a
1,-55.0,24.0,76:9f:14:03:d1:cb
1,-72.0,24.0,52:83:ab:d1:05:f1
1,-69.0,72.2222,da:e0:1d:b7:f0:e2
1,-75.0,26.0,a4:55:90:74:73:1d
1,-56.0,24.0,2a:3a:6b:22:c9:e8
1,-73.0,39.0,1e:d4:f8:49:23:c1
1,-74.0,39.0,bf:cb:b9:c7:07:75
1,-73.0,39.0,f8:89:d2:07:07:75
1,-68.0,24.0,2c:a7:ef:8a:41:b1
1,-75.0,39.0,93:46:3b:f0:87:75
1,-74.0,6.5,1a:0d:2b:c6:07:75
1,-76.0,39.0,8b:89:d2:c7:07:f5
1,-72.0,52.0,2e:2f:54:a7:66:ed
1,-76.0,26.0,40:46:34:33:52:02
1,-51.0,24.0,f4:30:8b:6e:6a:55
1,-73.0,19.5,43:65:08:f4:32:c7
1,-72.0,19.5,59:96:d2:c7:07:75
1,-73.0,39.0,0b:a1:c7:80:ef:72
1,-66.0,104.0,02:d4:f1:64:1b:d5
1,-73.0,58.5,a0:c2:55:08:5a:98
1,-73.0,58.5,68:44:f6:5d:40:f4
1,-71.0,52.0,f0:13:dc:1b:96:b7
1,-74.0,58.5,a0:02:dc:1b:a6:f0
1,-73.0,58.5,a0:02:dc:1b:94:bf
1,-73.0,24.0,44:46:87:34:55:89
1,-73.0,24.0,dc:b7:2e:7f:61:b6
1,-73.0,24.0,00:08:73:ff:44:8b
1,-63.0,65.0,f8:79:3c:6b:18:d5
1,-76.0,24.0,cc:f9:e4:9c:a1:d0
1,-71.0,24.0,14:f2:87:37:71:c1
1,-51.0,24.0,f0:a6:54:1d:ef:e5
1,-72.0,24.0,80:54:9c:0b:8c:71
1,-51.0,24.0,48:74:12:84:92:97
1,-71.0,52.0,d0:02:dc:1b:96:b7
1,-73.0,52.0,9e:c5:7c:56:9a:7d
1,-75.0,58.5,31:f7:64:cb:de:df
1,-79.0,26.0,20:7c:4b:d6:6f:be
1,-73.0,24.0,fc:1d:2a:4c:27:16
1,-73.0,19.5,54:96:3b:7c:41:a3
1,-51.0,24.0,f2:62:57:9d:4c:00
1,-52.0,28.8889,ff:41:04:56:68:97
1,-67.0,72.2222,c3:79:32:96:61:3d
1,-63.0,130.0,f8:89:d2:71:18:cf
1,-75.0,52.0,17:93:93:1c:82:ac
1,-65.0,130.0,b2:46:ea:4f:ac:28
1,-55.0,28.8889,88:20:7e:04:19:97
1,-72.0,24.0,44:16:fa:36:df:42
1,-50.0,24.0,7c:fd:6b:cf:f9:e4
1,-73.0,58.5,5d:02:dc:1b:96:b7
1,-70.0,1.0,12:e5:52:26:ab:84
1,-76.0,6.5,0a:b6:60:bd:6b:aa
1,-76.0,24.0,b8:bc:5b:66:cc:ed
1,-76.0,24.0,8c:f8:c5:7a:ed:01
1,-76.0,26.0,3b:fe:e8:4c:d5:f7
1,-76.0,26.0,5d:48:1f:39:80:2a
1,-76.0,26.0,33:b8:f4:78:6e:a6
1,-73.0,58.5,83:71:a2:8c:9b:44
1,-50.0,24.0,58:1c:f8:fb:19:90
1,-71.0,24.0,48:9b:e0:5d:df:a1
1,-76.0,6.5,27:36:38:15:16:ce
1,-76.0,26.0,da:f1:31:04:19:37
1,-71.0,24.0,08:8e:dc:36:02:8e
1,-77.0,6.5,88:f0:31:04:ea:19
1,-75.0,6.5,42:31:a9:c6:60:23
1,-76.0,26.0,14:1a:31:32:fb:ac
1,-77.0,6.5,56:05:12:f7:c4:b2
1,-74.0,6.5,88:90:d7:80:60:c0
1,-75.0,26.0,93:83:66:c8:22:97
1,-76.0,26.0,f6:fe:31:04:19:97
1,-72.0,13.0,a0:02:dc:1b:16:fd
1,-53.0,24.0,e4:6a:35:7f:8e:47
1,-73.0,24.0,32:71:7f:19:31:94
1,-74.0,58.5,6c:92:dc:01:0f:94
1,-62.0,117.0,93:cd:22:d6:54:19
1,-62.0,104.0,f8:89:d2:71:e5:69
1,-73.0,52.0,08:c9:70:3b:19:97
1,-53.0,24.0,04:ec:d8:0f:5e:1f
1,-75.0,6.5,fb:06:c5:6c:14:4e
1,-72.0,58.5,fc:ba:dc:28:8d:a4
1,-65.0,104.0,b8:cc:d0:71:18:d5
1,-70.0,58.5,60:0b:96:1b:96:b7
1,-69.0,24.0,b0:8c:75:c5:66:bb
1,-75.0,52.0,a2:02:dc:1b:96:b7
1,-70.0,24.0,a0:fb:c5:5a:17:14
1,-69.0,24.0,0c:19:f8:46:a3:b7
1,-56.0,130.0,00:00:a0:dd:00:20
1,-68.0,130.0,f8:89:34:f7:e1:5e
1,-68.0,130.0,04:27:eb:d0:92:a2
1,-72.0,24.0,fc:d9:08:a3:11:8b
1,-63.0,130.0,b8:cd:f1:71:98:d4
1,-72.0,58.5,88:f0:31:04:19:a7
1,-65.0,130.0,07:a7:d3:73:78:55
1,-72.0,1.0,02:00:00:00:00:00
1,-75.0,13.0,8b:f0:31:42:af:fc
1,-77.0,13.0,b9:d7:65:7e:ce:18
1,-53.0,24.0,a4:c6:9a:6c:fc:6d
1,-51.0,24.0,2c:6d:c1:74:2c:50
1,-69.0,24.0,34:b9:8d:9b:a3:8a
1,-64.0,130.0,f8:89:1c:18:c3:c1
1,-64.0,130.0,f8:9d:e0:d6:3a:d4
1,-78.0,24.0,e0:d5:5e:15:82:a6
1,-56.0,24.0,2c:a7:ef:b5:67:71
1,-78.0,14.4444,8b:f0:f9:81:67:0e
1,-75.0,14.4444,af:5d:22:df:bb:36
1,-71.0,24.0,5e:cf:05:10:83:67
1,-71.0,24.0,5c:10:c5:30:fb:5c
1,-71.0,1.0,ae:68:da:22:35:28
1,-61.0,130.0,d2:6f:56:70:1a:df
1,-53.0,24.0,dc:21:48:dc:20:df
